id,email,full_name,role,system_role,old_system_role,new_system_role,quote_id,approval_level,old_required_role,old_required_business_role,new_required_role,new_required_business_role,tenant_id,created_by_id,is_active,issues,fixes
1,deleted-user-1-20260414164420@procureflow.local,Silinen Personel (Isten Ayrildi),admin,tenant_admin,,,,,,,,,,,False,tenant_role_missing_tenant_id,
2,satinalma@example.com,SATIN ALAMA,satinalmaci,tenant_member,,,,,,,,,,,True,tenant_role_missing_tenant_id,
3,deleted-user-3-20260414122016@procureflow.local,Silinen Personel (Isten Ayrildi),user,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
5,deleted-user-5-20260414122124@procureflow.local,Silinen Personel (Isten Ayrildi),satinalma_direktoru,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
6,deleted-user-6-20260414164433@procureflow.local,Silinen Personel (Isten Ayrildi),satinalma_direktoru,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
8,satinalmauzmani@example.com,SATIN ALAMA UZMANI,satinalma_uzmani,tenant_member,,,,,,,,,,,True,tenant_role_missing_tenant_id,
9,satinalmayoneticisi@example.com,SATIN ALAMA YONETICISI,satinalma_yoneticisi,tenant_member,,,,,,,,,,,True,tenant_role_missing_tenant_id,
10,deleted-user-10-20260414164316@procureflow.local,Silinen Personel (Isten Ayrildi),admin,tenant_admin,,,,,,,,,,,False,tenant_role_missing_tenant_id,
11,deleted-user-11-20260414122137@procureflow.local,Silinen Personel (Isten Ayrildi),satinalmaci,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
12,deleted-user-12-20260414122031@procureflow.local,Silinen Personel (Isten Ayrildi),satinalma_uzman,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
13,deleted-user-13-20260414122102@procureflow.local,Silinen Personel (Isten Ayrildi),satinalma_yoneticisi,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
14,deleted-user-14-20260414122057@procureflow.local,Silinen Personel (Isten Ayrildi),satinalma_direktoru,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
15,deleted-user-15-20260414122041@procureflow.local,Silinen Personel (Isten Ayrildi),satinalma_direktoru,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
16,deleted-user-16-20260414122157@procureflow.local,Silinen Personel (Isten Ayrildi),satinalma_direktoru,tenant_member,,,,,,,,,,,False,tenant_role_missing_tenant_id,
19,satinalmaci@example.com,Satın Almacı,satinalmaci,tenant_member,,,,,,,,,,,True,tenant_role_missing_tenant_id,
